sampleMetadata	gene	mouse_nb	sex	initial_name	class	InjOrder	SourisGenre	Genre	Type	BW	injectionOrder	sampleType	batch	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
W634m	WT	634	M	Ec57710P_634M_C_Hi_GD5_01_16936	Sample	16921	501F	F	M	Lo	16921	sample	pos	-47.3368922092082	-34.8609157940741	0.254309127457926	0.77011387501125	0.282252443879885	W634m
L818f	LAT	818	F	Ec57701P_818F_L_Lo_GC4_01_16925	Sample	16920	630M	M	C	Hi	16920	sample	pos	45.9741124705264	-8.14993085247559	0.476623462105141	0.787408258220675	0.289269526774456	L818f
L819f	LAT	819	F	Ec57691P_819F_L_Lo_GB2_01_16914	Sample	16918	849M	M	L	Hi	16918	sample	pos	14.4482705706472	20.6483040268002	0.743354868783677	0.787408258220675	0.0696961318539091	L819f
L824m	LAT	824	M	Ec57699P_824M_L_Hi_GC2_01_16923	Sample	16917	518F	F	M	Lo	16917	sample	pos	-33.4949252215031	41.342020926777	0.283823714963209	0.77011387501125	0.00293339634282574	L824m
L825m	LAT	825	M	Ec57707P_825M_L_Hi_GD2_01_16932	Sample	16916	848M	M	L	Hi	16916	sample	pos	52.4871197055788	17.1684758584766	0.343715795476744	0.752933068500801	0.277603083781125	L825m
L826m	LAT	826	M	Ec57720P_826M_L_Hi_GE7_01_16948	Sample	16915	633F	F	C	Lo	16915	sample	pos	-42.2454179514776	-4.76770713692306	0.543435959138435	0.752933068500801	0.157466544584085	L826m
L827m	LAT	827	M	Ec57689P_827M_L_Lo_GA8_01_16911	Sample	16914	819F	F	L	Lo	16914	sample	pos	-15.5168536691343	-46.9480141645141	0.293343864818282	0.735873768027037	0.591371846995195	L827m
L836f	LAT	836	F	Ec57709P_836F_L_Hi_GD4_01_16935	Sample	16913	631M	M	C	Hi	16913	sample	pos	33.2921214486382	14.3717397654608	0.617883979401042	0.735873768027037	0.567815317853021	L836f
L841f	LAT	841	F	Ec57722P_841F_L_Lo_BA1_01_16950	Sample	16911	827M	M	L	Lo	16911	sample	pos	36.4634279558632	-12.5831238808307	0.588754475178654	0.735873768027037	0.303424813020391	L841f
L848m	LAT	848	M	Ec57693P_848M_L_Hi_GB4_01_16916	Sample	16910	531F	F	M	Lo	16910	sample	pos	-43.2996962288213	-29.8694346467615	0.337099652867961	0.752933068500801	0.16594530706437	L848m
L849m	LAT	849	M	Ec57695P_849M_L_Hi_GB6_01_16918	Sample	16909	854F	F	L	Lo	16909	sample	pos	-40.7659894565124	-2.53692825457188	0.570814992979864	0.752933068500801	0.227148590320138	L849m
L854f	LAT	854	F	Ec57687P_854F_L_Lo_GA6_01_16909	Sample	16908	513M	M	M	Hi	16908	sample	pos	54.839031119817	-13.8773910477588	0.333647985600476	0.787408258220675	0.134846646963648	L854f
L859m	LAT	859	M	Ec57715P_859M_L_Hi_GE2_01_16942	Sample	16907	628M	M	C	Hi	16907	sample	pos	46.3193259283614	26.1353653903564	0.343547556403551	0.768735124720689	0.606487843292902	L859m
L862f	LAT	862	F	Ec57716P_862F_L_Lo_GE3_01_16943	Sample	16906	617F	F	C	Lo	16906	sample	pos	-50.7990889564505	2.01029570606378	0.422298213428123	0.148740937925733	0.429031444298471	L862f
