variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M94.0457T39_2	c18hyper	M94.0457T39_2	94.0457398292374	39.2366237240851	[20][M]2+		10	6	@M95T39_1|-13Cdb|@M95T39_2|-13C|-15N|@M130T40_1|-(HCl)														94.0452919627911	94.045990533555	38.9977723013028	39.8394582701208	66	42	21	3	0.0286875235824745	0.052174157320133	0.443712994755775	0.977692160156389	4.1910442845058e-08	50323975.0228354	0	M94T39_2	M
M95.546T39	c18hyper	M95.546T39	95.5460224787652	39.1985837882105	[20][M+3]2+		10	6	@M95T39_1|+13C|+15N|@M95T39_2|+13Cdb														95.5455806712648	95.5463914421843	38.9843819564122	39.8394582701208	66	42	21	3	0.0225181062041476	0.0567562511682726	0.392172468706062	0.980036156884798	2.41527063126118e-08	556394.326351008	0	M94T39_2	
M110.0094T40_2	c18hyper	M110.0094T40_2	110.009378417198	39.5129899327586		[M+2H-HCOOH]2+ 264.006	10	6	@M111T40_1|-13C|-15N|@M112T40|-34S|-41K|-37Cl|@M128T40|-(H2O)|@M151T40_2|-(CH3CN)|-(C2H3N)|@M154T40_2|-(C2H4O)														110.008859306149	110.009720525799	39.1878916049242	39.8551509759436	66	42	21	3	0.00392092129698157	0.0495780522110243	0.353453493773939	0.979952264303423	2.46609901626668e-08	6853851.26835572	0	M94T39_2	
M111.0101T40_1	c18hyper	M111.0101T40_1	111.010148238834	39.5138914645809		[M+2H-CO2]2+ 264.006	10	6	@M110T40_2|+13C|+15N|@M112T40|-15N|@M129T40|-(H2O)|@M152T40_2|-(CH3CN)|-(C2H3N)|@M153T40|-(CH2N2)														111.009619410002	111.010435254521	39.2186593453432	39.8851350687789	63	42	21	0	1.47830377512016e-06	0.0494789075413567	0.316285165342073	0.98642417691807	3.55000868986454e-09	677081.677856292	0	M94T39_2	
M112.0069T40	c18hyper	M112.0069T40	112.006897914429	39.5250381625135		[M+2H-COCH2]2+ 264.006	10	6	@M110T40_2|+34S|+41K|+37Cl|@M111T40_1|+15N|@M130T40_1|-(H2O)|@M153T40|-(CH3CN)|-(C2H3N)|@M154T40_2|-(C2H4N.)														112.006368922378	112.00720888524	39.2186593453432	39.8851350687789	63	42	21	0	1.30401829287549e-06	0.0748653338804782	0.470673155880199	0.984380039715494	7.13362589708079e-09	767401.219002957	0	M94T39_2	
M128.02T40	c18hyper	M128.02T40	128.019978021773	39.5643301412902	[71][M]+		10	6	@M95T39_2|+(HS.)|@M110T40_2|+(H2O)|@M129T40|-13C|-15N|@M130T40_1|-34S|-41K|-37Cl|@M156T40|-(CO)|@M226T40|-(H2SO4)														128.018180807138	128.020317199767	39.3366291840565	50.0762536877384	76	42	21	3	0.00651893943956286	0.0576150723982215	0.409154503521652	0.985306668924661	5.262433665076e-09	4092768.76479873	0	M94T39_2	
M129.0207T40	c18hyper	M129.0207T40	129.020734290089	39.5359356948575	[71][M+1]+		10	6	@M111T40_1|+(H2O)|@M128T40|+13C|+15N|@M130T40_1|-15N														129.020122188644	129.021093429721	39.1667200122914	40.0865038570054	63	42	21	0	2.73044749011126e-06	0.0728481270509927	0.496188826365386	0.985014285889657	5.80443152005592e-09	366520.188974493	0	M94T39_2	
M151.036T40_2	c18hyper	M151.036T40_2	151.035995546113	39.5194648135472	[114][M]+		10	6	@M91T39|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M110T40_2|+(CH3CN)|+(C2H3N)|@M152T40_2|-13C|-15N|@M153T40|-34S|-41K|-37Cl|@M154T40_2|-13C-37Cl|-13C-34S|@M192T40|-(CH3CN)|-(C2H3N)														151.03524940568	151.036405928964	39.1878916049242	39.8551509759436	66	42	21	3	0.00803074523522196	0.0423126560455614	0.297747041251584	0.977131975137759	4.73989747936562e-08	24306062.5126867	0	M94T39_2	
M152.0369T40_2	c18hyper	M152.0369T40_2	152.036905684395	39.5339670662582	[114][M+1]+		10	6	@M111T40_1|+(CH3CN)|+(C2H3N)|@M151T40_2|+13C|+15N|@M153T40|-15N|@M154T40_2|-18O|-34S|-41K|-37Cl														152.036149036907	152.037267454883	39.1878916049242	39.8851350687789	66	42	21	3	0.00751315583522429	0.0561007654970063	0.379870982749648	0.982073692182711	1.41476671891242e-08	2772981.05419191	0	M94T39_2	
M153.0335T40	c18hyper	M153.0335T40	153.033508571085	39.5194648135472	[114][M+2]+		10	6	@M111T40_1|+(CH2N2)|@M112T40|+(CH3CN)|+(C2H3N)|@M151T40_2|+34S|+41K|+37Cl|@M152T40_2|+15N|@M154T40_2|-13C														153.032749367219	153.034027276777	39.254588102827	39.8551509759436	66	42	21	3	0.00680569691616133	0.0398546778774349	0.271292362852898	0.981360913736766	1.71725242067578e-08	3146883.94219477	0	M94T39_2	
M154.0368T40_2	c18hyper	M154.0368T40_2	154.036824600582	39.5138914645809	[114][M+3]+		10	6	@M110T40_2|+(C2H4O)|@M112T40|+(C2H4N.)|@M151T40_2|+13C+37Cl|+13C+34S|@M152T40_2|+18O|+34S|+41K|+37Cl|@M153T40|+13C														154.036027125979	154.037264610345	39.0640874522759	40.0865038570054	63	42	21	0	9.61664150158938e-06	0.0701378731067214	0.487084593817929	0.955680181272781	1.24993435173936e-06	104066.31033244	0	M94T39_2	
M156.0148T40	c18hyper	M156.0148T40	156.014823626112	39.5074446849873	[120][M]+		10	6	@M128T40|+(CO)|@M197T40|-(CH3CN)|-(C2H3N)														156.014076996509	156.015359740611	39.0794447262218	39.8161749490578	63	42	21	0	0.000958016501748762	0.120797923197239	0.757007290197228	0.952231304921819	1.80747946528591e-06	299266.657208791	0	M94T39_2	
M192.0627T40	c18hyper	M192.0627T40	192.062703900593	39.5250381625135		[M+2Na]2+ 338.142	10	6	@M151T40_2|+(CH3CN)|+(C2H3N)														192.061771971536	192.063624362732	39.1667200122914	40.0154005383596	63	42	21	0	6.815042190484e-06	0.0787303928014534	0.474023818145692	0.981293991185495	1.74810667931861e-08	146708.200443336	0	M94T39_2	
M197.0415T40	c18hyper	M197.0415T40	197.041487776235	39.5359356948575			10	6	@M156T40|+(CH3CN)|+(C2H3N)														197.040554255196	197.041961664993	39.1052759795704	40.5578967389979	63	42	21	0	7.33163607982763e-06	0.0885257027199206	0.57519816162264	0.96043157738706	7.14719965843346e-07	136495.648353236	0	M94T39_2	
M200.9739T40	c18hyper	M200.9739T40	200.973932345293	39.5738174847793			10	6	@M219T40|-(H2O)|@M242T40_2|-(CH3CN)|-(C2H3N)														200.972955482398	200.974310785283	23.5973219285285	40.3056686746834	58	42	16	0	0.00931610262363052	0.173616121734105	0.627838169629926	0.884283261416853	0.000134146288848268	45331.3831416748	0	M94T39_2	
M218.9846T40	c18hyper	M218.9846T40	218.984582132416	39.6568373378336			694	6	@M201T40|+(H2O)|@M225T40|-Li|@M266T40|-(CH5NO)														218.983495777803	218.984934600599	39.4094121610889	40.082521597442	54	42	12	0	2.35699471275956e-05	0.10594540024991	0.408254801520416	0.979500556652993	2.75463912245772e-08	42514.4159897384	0	M94T39_2	
M223.99T40	c18hyper	M223.99T40	223.989996196551	39.6049870716352	[309][M]+		10	6	@M225T40|-13C|-15N|@M226T40|-34S|-41K|-37Cl|@M242T40_2|-(H2O)|@M265T40|-(CH3CN)|-(C2H3N)														223.988308686839	223.990367753527	23.822262971243	40.8014641325554	70	42	21	3	0.0440916703204927	0.0651581034630072	0.22518056026338	0.998201471261249	1.47752625511639e-13	805228.356943427	0	M94T39_2	
M224.9906T40	c18hyper	M224.9906T40	224.990581425433	39.6037915856203	[309][M+1]+		695	6	@M219T40|+Li|@M224T40|+13C|+15N|@M226T40|-15N|@M243T40|-(H2O)|@M266T40|-(CH3CN)|-(C2H3N)|@M267T40|-(CH2N2)														224.986693224169	224.990917681814	23.5793692668904	45.5534839951306	65	42	19	0	0.000289344676377538	0.0817227954857523	0.310628208953703	0.997490507492269	7.80481798673458e-13	150468.110519847	0	M94T39_2	
M225.9873T40	c18hyper	M225.9873T40	225.987309891618	39.5419051016728	[309][M+2]+		696	6	@M128T40|+(H2SO4)|@M224T40|+34S|+41K|+37Cl|@M225T40|+15N|@M244T40|-(H2O)|@M267T40|-(CH3CN)|-(C2H3N)														225.978298664853	225.987882764436	1.57364408783882	40.2496792678703	81	42	20	1	0.0149984614379615	0.0734298121935801	0.265854479135927	0.994151532112421	5.33608976264873e-11	179831.833704146	0	M94T39_2	
