dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X513m	X517f	X518f	X521f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m
M243.089T386	18.1497740461409	17.8196389443466	18.4262524372495	18.3103553451252	18.2959690303908	18.8907057845849	18.579478707987	18.893872685494	18.5155393098749	18.1914699525783	18.252658949954	18.5319148071326	17.8549675835921	18.7408750918032	17.9850333031198	17.7790254394018	17.2948496772631	17.7765628641948	17.7267826555792	16.9513297848351	17.1399663528505	17.1535463457496	17.53035514016	17.4720301691622	17.3952767294922	17.0821992237014	17.727178686326	17.8196679980828	17.7672248835195
M613.6959T334	12.7548991928548	13.1446497789794	12.6390304977792	11.19597749639	11.3484122550692	13.1672258569139	11.0596387073313	11.82157264035	12.9347238125765	12.179459192724	11.8739398642347	12.7237577539034	12.9180626883273	12.8216060884223	13.925230559705	14.0702568171077	14.4789302206334	13.6637125068046	13.244347674715	13.9217071981727	14.056880899181	14.5028292853622	13.4431712666898	13.4692556821278	13.9401075676288	13.8692271120824	13.8684979538252	13.7632144590631	12.3845052778427
M374.1556T355	16.3216546012707	12.58871653099	13.2359865646999	12.959787184526	10.5012155283125	14.7010831445603	8.21344976111546	14.3566512597511	16.1401204321368	14.0102476367168	8.08775134422072	7.67018759247464	12.473013410859	14.6678538886101	13.108067151509	0.053664105326033	12.8255215162671	0.322215927659166	14.8103730779317	0.423543892533088	-0.0820387275455407	0.0935625929936664	0.00290238900225722	0.397195715725369	-0.254791059442985	-0.195177643575872	0.0606235805371553	-0.228644866885837	10.9013342376379
M348.4618T263	12.6219105630884	12.7709165305648	11.7353542318602	11.6546674320689	11.7595515480515	11.9575750712977	11.0187844487611	10.9281541679754	12.8996448617299	12.7726076972878	11.5893781047772	11.9781925443078	11.917882920391	11.7528032449943	12.7789354908061	13.142189157172	13.6445793828467	12.4981560603305	12.0866165829693	12.8757498357079	12.844644232534	13.6682548395403	12.809004698309	13.5959970393698	13.6127608966025	13.4452517428162	13.6544461117945	13.6538261195815	12.9905402851478
M753.4277T361	13.2262935605107	12.5999280797077	13.1129136389838	12.9703488877025	13.5438663333232	13.7356181871007	13.1343708813236	13.2301965137874	13.3513774280479	13.6866398359376	12.6165137386145	12.7905274990432	12.8988727445985	12.5792370785951	11.6776953637173	12.8932939615789	12.2213231307163	12.0486350462613	10.8704581383426	11.7948928773338	12.8806422719398	9.15909379027345	9.54144041474539	11.2287723929832	8.5183530470206	10.0431474070842	12.2871308137788	13.1207176020673	12.0386905966828
M920.6251T381	13.0967435602918	13.4520737722032	13.450419754797	13.2968368356822	12.6400486771897	13.2661833224593	13.7855860281128	13.1380909948965	12.7405519049825	12.5302398130982	13.4499367947023	12.7184294734763	13.0400348908593	13.578705641638	12.9841532739149	10.069967649273	11.5628938092757	12.7569537111745	9.90286233339094	10.5849821808532	13.483106313213	12.0265564496723	11.2259907648813	10.9428465930021	10.3972036021621	10.5536861099396	12.6922115282316	12.5252763956428	11.3775424029906
M596.5994T378	12.6128200000843	13.0785888235246	10.9795015510423	12.2763845367377	11.826575285101	11.6008499525531	11.420821619017	11.639608606677	12.9634093530599	12.4363060231838	10.7467804786734	10.0216891205876	12.1286830489504	11.0752865201684	13.0437199819463	13.2905990520029	13.6728265538772	13.1772304232451	12.878061513791	12.3372092032304	12.740080852795	13.8825310007341	12.5834809300401	12.8172361043696	12.899234423195	13.4349106226184	14.4562477155641	13.1155154685896	12.3768685495031
M374.551T258_1	13.5670566412108	14.1578033033233	12.7633613000432	13.3164691679221	12.7542985838945	12.9763978442421	12.5697699347287	12.5164038536297	13.822418136976	13.6060285173899	12.6219175907567	13.2320308252999	12.398736844511	12.3648623255936	13.6854502395229	13.7821567695316	14.4430067938579	12.9405391468617	13.0861295541244	13.8553843492807	14.0223391127332	14.5251729336019	14.5646745713358	15.0379062096576	14.5494519085534	14.4256953985138	14.8979258542041	14.3670878199211	14.3088853431098
M477.4809T378_2	14.1000855290157	14.5494712982516	13.3728645355041	13.1740102766586	13.2565233086021	13.3956305993444	12.9093204129678	12.9836723408981	14.6385023047081	13.4728455302394	12.3899057963553	12.9298515993679	13.3435957385604	12.827695273156	14.5982068684464	14.5210079124135	15.0043306013797	14.4917290079898	14.3054085263928	14.102548787541	13.5030006954364	15.3043084385795	14.1085619029802	14.2266020897422	14.2224130723272	14.9192120872891	15.7977626297091	14.4862124597484	13.8288370372931
M477.2804T378_1	13.6586849636032	14.127351519907	12.805240761321	12.6951869138943	12.8462223827646	12.7035164989424	13.0624491831767	12.7435435541042	14.1040511467731	13.4502393039605	12.0518263374023	12.6868647590916	13.0569687390357	12.5445137702925	14.2249737816696	14.2589268701003	14.5367651529862	14.2723533862492	13.4705927904217	13.7576629937333	13.8162824840153	15.1393245819359	13.9186996291425	14.0530321866341	13.6528508789139	14.1719875375583	15.4664688061042	13.9604064142877	13.4782295975827
M502.6216T361_1	13.4576962719383	13.1983363693578	13.1947678388014	12.8284283123249	13.0929476817126	13.5813779325015	13.2147264930571	13.1296337233285	13.0099728178607	12.9012709440132	12.8611553684412	13.0555952895966	12.7871914428082	12.8890215184666	12.8129325004304	12.4230958847998	12.695129451049	12.2898405062824	12.5054934713642	10.8303446458261	12.8171533055875	11.4648581930469	11.5029713108975	11.9422633074662	11.3182229682546	10.659809786393	12.8087293190525	13.0867148337052	11.4162850769518
M257.9185T220	12.8185844889061	13.7925097234079	12.5931741568941	12.62739810491	12.4503191525731	12.2633063684386	12.5100373932879	11.6179519708946	13.4073732130127	12.2705244255383	12.4908184545358	13.031238313038	11.8302214344226	12.1289128370645	12.6632527905889	13.0635332032829	13.2800097765919	13.286688776216	13.3390169490893	12.8645640645755	13.1525523909227	13.8882581522409	14.0225682104157	14.2935873816615	13.9486230472068	14.0758511083577	14.2438852114374	12.8966207519776	13.9328261676488
M343.5556T220_1	12.7147804825299	13.6204913204252	12.6547932861287	12.5619469251522	12.414788246439	12.3244892072578	12.4702753830861	12.0248754145517	13.1851565858378	12.8394991941903	12.4444936690863	12.7943544207763	12.0254169884059	12.2592321245475	13.0445741196595	13.0779485622737	13.2058195206027	12.8915188919396	13.1743678594654	13.0693605245689	13.07030187795	13.6802899121556	13.9299514762813	14.2466694056197	13.8006624587191	13.9585283875377	14.1878442313986	12.689361420648	14.0184280589733
M343.8899T220_2	11.3431934793085	12.1507684088078	11.9071866596335	11.3581696448921	11.6993930634596	10.9039964897385	11.0578187104374	10.8518227647659	12.0666213332237	11.5413456111876	11.3740723551179	12.0780493266484	11.2085139181867	11.4867492859024	11.9479867455614	11.9233233051644	11.9817062281375	12.158221718312	11.6000204625866	11.9202365297419	12.0594944674532	12.8796615091104	12.7760135280818	13.2028847850206	12.7251059219536	12.9015505095358	13.0534454130939	11.6253709725907	12.6195658135629
M131.6951T75_8	16.9862860034295	17.0831369208115	18.0985694656509	17.50907761331	16.2641753250532	17.4540672299476	17.1184044984546	17.4721207032619	17.5114887642429	17.7876157529113	16.9047588534863	16.8642861891013	17.0568187545659	18.0603300202016	18.1811882382877	17.7113277294992	18.4544045108062	17.8134050143464	18.1759105208941	17.9455670442016	18.3079922604972	18.373376168259	18.0587755410237	18.5715166754256	18.2564249842152	18.0587502067408	18.5142117426816	17.8644230745167	17.4835199199192
