variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M88.0232T0.72_4	c18acqui			0.139940458425318	0.821534351096368	0	-0.124426724185586	0.538299474215502	0	0.00916166401259844	0.989890459617679	0	-0.199969658054503	0.256487076589652	0	1.50049121016888	0.0538826748446108	E	E	E	E	E	E	0	0	4		M88T43_4	88.0231742558696	43.1908022944057	[63][M]2+		14	1	@M70.0124T0.72_3|+(H2O)|@M88.5243T0.72_1|-13Cdb|@M90.0196T0.72_4|-34S|-41K|-37Cl|@M91.0272T0.72_4|-13C-37Cl|-13C-18O|-13C-34S
M88.5243T0.72_1	c18acqui			0.102341059056574	0.89894900033005	0	-0.129461775206838	0.567278956572634	0	-2.4912950031819e-06	0.995054109066654	0	-0.202388992743398	0.320286034303019	0	0.947882440609967	0.110386709021523	E	E	E	E	E	E	0	0	4		M89T43_1	88.5242894472781	43.1880692026337	[63][M+1]2+		14	1	@M70.5138T0.72_1|+(H2O)|@M88.0232T0.72_4|+13Cdb|@M90.5258T0.72_1|-18O|-41K|-37Cl
M88.9525T0.72_2	c18acqui			0.181616032542268	0.798002907781623	0	-0.110377091902986	0.629782221639645	0	0.0403935283051382	0.976972231001985	0	-0.239740901635004	0.199942199328339	0	1.72199293665715	0.263370846053128	E	E	E	E	E	E	0	0	NA		M89T43_2	88.9524626796204	43.1593279608189	[47][M+4]+		14	1	@M84.9596T0.72_2|+44Ca
M90.0196T0.72_4	c18acqui			0.155688271591197	0.800055697572617	0	-0.157478463792643	0.364169696805342	0	0.0581798702282779	0.974330332819913	0	-0.166065875989052	0.364967014181582	0	1.47748315955181	0.236661065439941	E	E	E	E	E	E	0	0	4		M90T43_4	90.0195672766382	43.1853361108618	[63][M+4]2+		14	1	@M88.0232T0.72_4|+34S|+41K|+37Cl|@M90.5258T0.72_1|-13Cdb|@M91.0272T0.72_4|-13C
M90.5258T0.72_1	c18acqui			0.116088186004561	0.878389729933797	0	-0.132757464074242	0.519070709289351	0	-0.00420686419357708	0.997647638581606	0	-0.242089279292411	0.18521812322907	0	1.23564582607779	0.0448931506768959	E	E	E	E	E	E	0	0	4		M91T43_1	90.5257934856995	43.1592590606903	[74][M]2+		14	1	@M88.5243T0.72_1|+18O|+41K|+37Cl|@M90.0196T0.72_4|+13Cdb|@M91.0272T0.72_4|-13Cdb|@M92.5223T0.72_1|-34S|-41K|-37Cl|@M108.5369T0.72_1|-(H2O)
M91.0272T0.72_4	c18acqui			0.149584039218588	0.803221567360953	0	-0.131160630392436	0.497191051893402	0	-0.00806677833449498	0.999258719077398	0	-0.2213234808004	0.212459089433418	0	1.53576601886762	0.137584979913621	E	E	E	E	E	E	0	0	NA		M91T43_4	91.0271995579537	43.1737771115211	[74][M+1]2+		14	1	@M88.0232T0.72_4|+13C+37Cl|+13C+18O|+13C+34S|@M90.0196T0.72_4|+13C|@M90.5258T0.72_1|+13Cdb
M92.5223T0.72_1	c18acqui			0.144584640139634	0.805254479533446	0	-0.137430713813306	0.468955313344891	0	0.0526945131654699	0.974330332819913	0	-0.228478504330187	0.196990773134284	0	1.50746971475441	0.369850986489885	E	E	E	E	E	E	0	0	NA		M93T43_1	92.5223392874299	43.1737771115211	[74][M+3]2+		14	1	@M61.5087T0.72_1|+(CH3O.)|@M90.5258T0.72_1|+34S|+41K|+37Cl
M99.5315T0.72_1	c18acqui			0.150037293856606	0.816058326116918	0	-0.13763975495463	0.503714464753069	0	0.0162055984492753	0.986967026657348	0	-0.223165869265721	0.225106164837502	0	1.51290165837771	0.0332707555032099	E	E	E	E	E	E	0	0	4		M100T43_1	99.5315190855467	43.1790911213774	[94][M]2+		14	1	@M81.5205T0.72_1|+(H2O)|@M101.5281T0.72_1|-34S|-41K|-37Cl
M101.5281T0.72_1	c18acqui			0.192584109804892	0.763338837694751	0	-0.180613118874172	0.289581491133546	0	0.0534018808175354	0.974330332819913	0	-0.234625787241239	0.182626346669282	0	1.91347418933361	0.286176730382781	E	E	E	E	E	E	0	0	4		M102T43_1	101.528094608433	43.1880692026337	[94][M+4]2+		14	1	@M83.517T0.72_1|+(H2O)|@M99.5315T0.72_1|+34S|+41K|+37Cl
M102.9706T0.72_3	c18acqui			0.152339398899013	0.829228892215067	0	-0.179139329596577	0.373672949910904	0	0.0250032904734034	0.984214873014425	0	-0.233860920662483	0.18172927299187	0	1.34534992253628	0.059702084319295	E	E	E	E	E	E	0	0	NA		M103T43_3	102.970614972939	43.1940504210335	[113][M]+	[M+K]+ 64.009	14	1	@M84.9596T0.72_2|+(H2O)|@M143.9968T0.72_1|-(CH3CN)|-(C2H3N)
