variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	BiH_base_POS_QTof_Plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.name.M.Formule.M.H..M.H...th.Intensite...Tr.Masse.Exp.Delta.ppm.	BiH_Pool_Qtof_Pos_plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.G.N.compound.composition.Formule.M.H...M.H....Th...TR.Masse.exo.delta.ppm.	BiH_DB_Lipids_POS.MzDelta_Query.Bank.0.005Da..MzBank.m.z..M.H...Formule.Brute..M..Annotation..Lipid.class.and.subclass.RT.min..	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Sample	supp_BLC	supp_fold	supp_tstat	supp_pvalue	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV
M132.102T1.19_3	c18acqui	M132.102T1.19_3	132.101973608365	1.19467042513736	[182][M]+		1	0.000273608365#132.1017#0.11467042513736#1.08#LC [M+H-C3H5NOS]+#NA#C6H14NO2#132.101905#58.52#1.08#132.1017#-1.552|0.000273608365#132.1017#0.11467042513736#1.08#IC [M+H-C3H5NOS]+#NA#C6H14NO2#132.101905#14.91#1.08#132.1017#-1.552|0.000173608365#132.1018#0.11467042513736#1.08#IS [M+H-C3H5NO2]+#NA#C6H14NO2#132.101905#22.15#1.08#132.1018#-0.795|0.000073608365#132.1019#0.11467042513736#1.08#AI [M+H-C5H5NO]+#NA#C6H14NO2#132.101905#15.43#1.08#132.1019#-0.038|0.000073608365#132.1019#0.09467042513736#1.1#IT [M+H-C4H4NO2]+#NA#C6H14NO2#132.101905#26.1#1.1#132.1019#-0.038|0.000073608365#132.1019#0.03467042513736#1.16#GL [M+H-C2H3NO]+#NA#C6H14NO2#132.101905#11.44#1.16#132.1019#-0.038|0.000026391635#132.102#0.04467042513736#1.15#L-Isoleucine#C6H13NO2#C6H14NO2#132.1019#100#1.15#132.102#0.757|0.000026391635#132.102#0.02467042513736#1.17#L-Norleucine#C6H13NO2#C6H14NO2#132.10191#100#1.17#132.102#0.681|0.000026391635#132.102#0.09467042513736#1.1#AL [M+H-C3H5NO]+#NA#C6H14NO2#132.101905#14.52#1.1#132.102#0.719|0.000026391635#132.102#0.18532957486264#1.38#GI [M+H-C2H3NO]+#NA#C6H14NO2#132.101905#6.14#1.38#132.102#0.719|0.000126391635#132.1021#0.04467042513736#1.15#L-Leucine#C6H13NO2#C6H14NO2#132.1019#100#1.15#132.1021#1.514	0.000273608365#132.1017#0.09532957486264#1.29#33#993#6-Aminocaproic acid#C6H13NO2#C6H14NO2#132.101909#100#1.29#132.1017#-1.58		-0.043666246321564	0.922653423183648	0	0.164085437876651	0.111272404157271	0	-0.0109433727562815	0.0277554301870189	0.00783953562008887	0.0308164478784893	0.536852359643816	1.93564837018909	0.000522110206920233	E	E	E	-0.0521902148029518	0.837845291239861	0	0.183707084541965	0.0504676162482052	0	-0.0130742273302366	-0.0245806882326775	0.0100369452556561	-0.00807322522927422	0.671540966482283	0.483239549915316	0.000557606186777102	E	E	E	132.101798952284	132.102087314525	1.18438743146323	1.21875263625866	52	50	2	2511.96994732169	-59.2119246188166	0	0.000398051009780002	0.0462655489216683	0.362605802050963
M118.0863T1.18_2	c18acqui	M118.0863T1.18_2	118.086267794245	1.17864105169436	[153][M]+	[M+H+NH3]+ 100.055	1	0.000167794245#118.0861#0.05864105169436#1.12#L-Valine#C5H11NO2#C5H12NO2#118.08625#100#1.12#118.0861#-1.270|0.000067794245#118.0862#0.04864105169436#1.13#DL-Norvaline#C5H11NO2#C5H12NO2#118.08625#100#1.13#118.0862#-0.423|0.000067794245#118.0862#0.08864105169436#1.09#AV [M+H-C3H5NO]+#NA#C5H12NO2#118.086255#16.69#1.09#118.0862#-0.467	0.000067794245#118.0862#0.16864105169436#1.01#15#211#5-Aminovaleric acid#C5H11NO2#C5H12NO2#118.08628#100#1.01#118.0862#-0.68|0.000032205755#118.0863#0.01864105169436#1.16#4#30#Valine#C5H11NO2#C5H12NO2#118.08626#100#1.16#118.0863#0.34		0.0473899037850956	0.85691472144873	0	0.0132465309645937	0.890641540979253	0	-0.000212377393304702	0.0130447108753402	-0.00860841237326829	0.0204283229226396	0.589505133892575	1.2831475621986	-0.000711449328223546	E	E	E	0.0191782411265109	0.964122269008692	0	0.0188018608130989	0.885465872321199	0	0.00353544818066588	-0.0181910991345265	-0.00435845657457002	0.00556366934012941	0.291610850304124	0.333024905344241	-0.000218673468434013	E	E	E	118.086132733773	118.086386636004	1.07659791941134	1.18635450651578	51	50	1	206.524806062534	-58.6870205154191	0	0.00483965966420408	0.0499856500216342	0.413912868260163
M118.1366T1.17	c18acqui	M118.1366T1.17	118.136618166907	1.17426629235857			1				-0.0968269443512959	0.995997305564202	0	1.73752143770725	0.26817872718129	0	-0.00409082202006879	0.0186373143998021	-0.000552631941596076	0.0109374435352971	0.0378443030605215	0.687004707246321	7.09026490706059e-05	E	E	C	-1.73212468842461	0.709452581982936	0	2.04748395854505	0.285036346002867	0	-0.0113142409498567	-0.0023979969613451	0.0115313878852455	-0.00784705166611193	0.771529501067671	0.469701464731099	0.000865217219477884	E	E	C	118.136171261913	118.138030836477	1.16925630218721	1.18757769915769	5	5	0	188.702327017784	-19.6885018612282	0	0.00541901473186816	0.0775739118678812	0.195611234953042
M86.0964T1.2_2	c18acqui	M86.0964T1.2_2	86.0963600226288	1.1975166553734	[52][M]+	[M+H-C3H2O3]+ 171.093	1				-0.0856730043501734	0.807884923375372	0	0.175373523653388	0.104657024716734	0	-0.0103794808431705	0.0309299165995828	0.0133247808335908	0.0324962568401936	0.912482623832866	2.0411608384584	0.00096704613900731	E	E	E	-0.0911084497973818	0.749421730462325	0	0.195647386684719	0.0791270560226826	0	-0.0120841536161202	-0.0258921458110993	0.01312898665556	-0.00801971794969706	0.878419894005037	0.480036761318969	0.000794574539369673	E	E	E	86.0961869650812	86.0965956934567	1.18722217693575	1.30335667965037	53	50	3	1607.11723514749	-50.5287599666181	0	0.000621131651561253	0.0580759284452941	0.395271677205918
M72.0806T1.18_2	c18acqui	M72.0806T1.18_2	72.0806376509194	1.18155859577066	[20][M]+		1	0.0001376509194#72.0805#0.10155859577066#1.08#VI [M+H-C7HN12NO2]+#NA#C4H10N#72.0807759#13.31#1.08#72.0805#-3.828|0.0000376509194#72.0806#0.09155859577066#1.09#VL [M+H-C7H13NO3]+#NA#C4H10N#72.0807759#11.09#1.09#72.0806#-2.44|0.0000623490806#72.0807#0.06155859577066#1.12#L-Valine frag [M+H-CH2O2]+#NA#C4H10N#72.08078#39.69#1.12#72.0807#-1.110|0.0000623490806#72.0807#0.08155859577066#1.1#VF [M+H-C10H11NO3]+#NA#C4H10N#72.0807759#9.28#1.1#72.0807#-1.053|0.0000623490806#72.0807#0.00844140422934#1.19#QV [M+H-C6H10N2O4]+#NA#C4H10N#72.080776#25.64#1.19#72.0807#-1.054|0.0001623490806#72.0808#0.05155859577066#1.13#DL-Norvaline frag [M+H-CH2O2]+#NA#C4H10N#72.08078#51.83#1.13#72.0808#0.277|0.0001623490806#72.0808#0.08155859577066#1.1#VV [M+H-C6H11NO3]+#NA#C4H10N#72.0807759#14.44#1.1#72.0808#0.334|0.0001623490806#72.0808#0.09155859577066#1.09#AV [M+H-C4H7NO3]+#NA#C4H10N#72.0807759#4.14#1.09#72.0808#0.334|0.0001623490806#72.0808#0.10155859577066#1.08#VM [M+H-C6H11NO3S]+#NA#C4H10N#72.080776#8.47#1.08#72.0808#0.333|0.0001623490806#72.0808#0.11155859577066#1.07#VS [M+H-C4H7NO4]+#NA#C4H10N#72.080776#32.75#1.07#72.0808#0.333|0.0001623490806#72.0808#0.02155859577066#1.16#VA [M+H-C4H7NO3]+#NA#C4H10N#72.080776#60.33#1.16#72.0808#0.333|0.0001623490806#72.0808#0.06155859577066#1.12#RV  [M+H-C7H14N4O3]+#NA#C4H10N#72.080776#16.53#1.12#72.0808#0.333|0.0002623490806#72.0809#0.11155859577066#1.07#VC [M+H-C4H7NO3S]+#NA#C4H10N#72.080776#25.68#1.07#72.0809#1.72|0.0002623490806#72.0809#0.11155859577066#1.07#VD [M+H-C5H6NO5]+#NA#C4H10N#72.080776#21.76#1.07#72.0809#1.72|0.0002623490806#72.0809#0.12155859577066#1.06#VG [M+H-C3H5NO3]+#NA#C4H10N#72.080776#47.46#1.06#72.0809#1.72|0.0002623490806#72.0809#0.10155859577066#1.08#VT [M+H-C5H9NO4]+#NA#C4H10N#72.080776#20.44#1.08#72.0809#1.72	0.0002623490806#72.0809#0.02155859577066#1.16#4#30#Valine [M+H-CH2O2]+#NA#C4H10N#72.0807759#38.55#1.16#72.0809#1.72		0.0170930876468169	0.977713418287483	0	-0.0441524445991845	0.797725467645583	0	0.00480132289045712	0.00174410297544486	0.00245110584353144	0.0135633762560272	0.167852028437072	0.85194527441193	-0.000167317878251653	E	E	E	-0.00177223361508538	0.998113364566386	0	-0.0176153690083503	0.913566478460418	0	0.00636399884927631	0.000135680147884651	-0.00059652348260715	0.000779720682272864	0.0399115413938957	0.0466717898808176	1.51984877873243e-05	E	E	E	72.0804781505257	72.0807421785446	0.985974164792017	1.28581100105624	52	50	1	1586.84296374909	-39.9170178917006	0	0.000626995459855136	0.162090331927393	0.953927717401324
M204.123T1.18_3	c18acqui	M204.123T1.18_3	204.123020863048	1.18178433715477	[347][M]+		1	0.000179136952#204.1232#0.03178433715477#1.15#Acetyl L Carnitine#C9H17NO4#C9H18NO4#204.1230345#100#1.15#204.1232#0.81	0.000020863048#204.123#0.11821566284523#1.3#2#86#Acetyl-L-carnitin#C9H17NO4#C9H18NO4#204.12303#NA#1.3#204.123#-0.15		-0.0971413368592771	0.895893491335308	0	0.507966963240406	0.000779440839412803	1	-0.0253075904822228	-0.0052748386873673	0.00936070699755836	-0.0154573902178404	0.641022361923603	0.970912426393716	0.00059440128998526	E	E	E	-0.106894679849233	0.778360199091384	0	0.227640284350223	0.107402861549739	0	-0.0136115426810891	0.0213573486760194	0.0132247593573031	-0.0246815598071229	0.884827749288988	1.47736567650228	0.000723549993129848	E	E	E	204.122773951339	204.123258877857	1.17407604216923	1.35089708294544	51	50	0	3499.40663363451	-29.6913970381278	0	0.000283661696323282	0.136199528094071	0.53951021229783
M150.0583T1.19	c18acqui	M150.0583T1.19	150.058346209078	1.18569117680175	[221][M]+		1	0.000046209078#150.0583#0.09569117680175#1.09#AM [M+H-C3H5NO]+#NA#C5H12NO2S#150.058326#9.7#1.09#150.0583#-0.173|0.000053790922#150.0584#0.08569117680175#1.1#GM [M+H-C2H3NO]+#NA#C5H12NO2S#150.058326#8.59#1.1#150.0584#0.493|0.000253790922#150.0586#0.06569117680175#1.12#L-Methionine#C5H11NO2S#C5H12NO2S#150.05832#100#1.12#150.0586#1.866	0.003546209078#150.0548#0.09430882319825#1.28#18#255#Pyridoxal[M+H-H2O]+#NA#C8H8NO2#150.054955#41.91#1.28#150.0548#-1.03|0.000146209078#150.0582#0.11430882319825#1.3#8#28#Methionine#C5H11NO2S#C5H12NO2S#150.05833#100#1.3#150.0582#-0.87		0.0195272045982939	0.956230217274672	0	0.0229342085331439	0.85520482768067	0	-0.00253937959407323	0.00913489560197537	-0.00786566945214301	-0.00158527275494761	0.538642007664401	0.0995744427300276	-0.000257961067985635	E	E	E	0.0879224378650072	0.806697980993905	0	0.080914417130284	0.533045579353961	0	-0.00616269970038234	-0.0219045759257742	-0.0128587641089451	0.00604706363887089	0.860340139109811	0.361959468263212	-0.000836515743567814	E	E	E	150.05815600423	150.058481113236	1.17421585504773	1.19682118335494	50	50	0	1347.69797026936	-52.7592869758002	0	0.000742624593183325	0.0465927480378278	0.347817929719344
M182.0812T1.19_2	c18acqui	M182.0812T1.19_2	182.081171863574	1.18784839240756	[281][M]+		1	0.000128136426#182.0813#0.04784839240756#1.14#L-Tyrosine#C9H11NO3#C9H12NO3#182.08117#100#1.14#182.0813#0.714|0.000128136426#182.0813#0.05215160759244#1.24#L-Tyrosine#C9H11NO3#C9H12NO3#182.08117#100#1.24#182.0813#0.714			0.143781922716276	0.66882557125601	0	0.160482518630314	0.227138075371821	0	-0.0193058922164489	-0.0149300084163408	-0.0191464926381433	-0.0277858756913584	1.3111541613958	1.74529151472377	-0.00118035507526765	E	E	E	0.175799105275278	0.503503732432728	0	0.129666865733302	0.343041376761458	0	-0.0115869299321962	-0.00471410820347822	-0.020006538071699	9.28363893842111e-05	1.33857558952633	0.00555691359372892	-0.00142476636784915	E	E	E	182.080972195287	182.081326456942	1.18099316500953	1.1975166553734	50	50	0	1506.05197920535	-38.6828587658512	0	0.00066614132048002	0.0440321545028712	0.222234520915133
M130.0863T1.18_3	c18acqui	M130.0863T1.18_3	130.086306079904	1.18071526601529	[178][M]+	[M+H-COCH2]+ 171.093	1	0.000006079904#130.0863#0.08071526601529#1.1#LK [M+H-C6H11NO-NH3]+#NA#C6H12NO2#130.086255#26.68#1.1#130.0863#0.346|0.000093920096#130.0864#0.19071526601529#0.99#IK [M+H-C6H11NO-NH3]+#NA#C6H12NO2#130.086255#25.56#0.99#130.0864#1.115|0.000093920096#130.0864#0.11071526601529#1.07#IK [M+H-C6H11NO-NH3]+#NA#C6H12NO2#130.086255#23.53#1.07#130.0864#1.115|0.000093920096#130.0864#0.01071526601529#1.17#FK [M+H-C9H9NO-NH3]+#NA#C6H12NO2#130.086255#17.91#1.17#130.0864#1.115|0.000293920096#130.0866#0.00071526601529#1.18#YK [M+H-C9H12N2O2]+ #NA#C6H12NO2#130.086255#7.98#1.18#130.0866#2.652	0.000106079904#130.0862#0.04928473398471#1.23#19#272#Pipecolinic acid #C6H11NO2#C6H12NO2#130.08628#100#1.23#130.0862#-0.61		-0.048916425663446	0.803441700308364	0	-0.688208495242669	5.02442467103567e-06	1	0.0297800359622414	-0.00681777656181587	0.00308142581833368	0.00104863824871729	0.211016417528703	0.0658672578050252	0.000259778124811704	E	E	E	0.066727765816406	0.821429683114312	0	-0.543953669234419	6.45676478356237e-05	1	0.0261598312097899	0.00583843245017047	-0.0132324807656883	0.0113354519891664	0.885344364844569	0.678506862098765	-0.000372295559616889	E	E	E	130.086143939168	130.086423248972	1.17118132052189	1.18757769915769	50	50	0	258.362184257603	-28.0559382660817	0	0.00383794580350713	0.120853336404744	0.469016750012746
M104.0531T1.19	c18acqui	M104.0531T1.19	104.053094270095	1.19385047588344	[115][M]+		1	0.000294270095#104.0528#0.03385047588344#1.16#MT [M+H-C5H8NO4]+#NA#C4H10NS#104.052847#31.82#1.16#104.0528#-0.452|0.000194270095#104.0529#0.14385047588344#1.05#MR [M+H-C7H14N4O3]+#NA#C4H10NS#104.052847#21.7#1.05#104.0529#0.509|0.000194270095#104.0529#0.04385047588344#1.15#MG [M+H-C3H5NO3]+#NA#C4H10NS#104.052847#58.1#1.15#104.0529#0.509|0.000194270095#104.0529#0.06385047588344#1.13#MS [M+H-C4H7NO4]+#NA#C4H10NS#104.052847#20.7#1.13#104.0529#0.509|0.000194270095#104.0529#0.00385047588344#1.19#MC [M+H-C4H7NO3S]+#NA#C4H10NS#104.052847#36.71#1.19#104.0529#0.509|0.000194270095#104.0529#0.05385047588344#1.14#MD [M+H-C5H7NO5]+#NA#C4H10NS#104.052847#12.43#1.14#104.0529#0.509|0.000094270095#104.053#0.10385047588344#1.09#MF [M+H-C10H11NO3]+#NA#C4H10NS#104.052847#7.42#1.09#104.053#1.47|0.000094270095#104.053#0.03385047588344#1.16#MA [M+H-C4H7NO3]+#NA#C4H10NS#104.052847#35.17#1.16#104.053#1.47|0.000094270095#104.053#0.00614952411656#1.2#MP [M+H-C6H9NO3]+#NA#C4H10NS#104.052847#5.73#1.2#104.053#1.47|0.000005729905#104.0531#0.07385047588344#1.12#L-Methionine frag 2 [M+H-CH2O2]+#NA#C4H10NS#104.05285#25.88#1.12#104.0531#2.403	0.000294270095#104.0528#0.10614952411656#1.3#8#28#Methionine[M+H-CH2O2]+#NA#C4H10NS#104.052847#24.07#1.3#104.0528#-0.45		0.0349995941436774	0.903296257438011	0	0.0271474127290219	0.811074413272718	0	-0.00448715899357729	0.00837795719166346	-0.0104676711367893	-0.000951379188153305	0.716827401786473	0.0597582038735298	-0.000504673076489181	E	E	E	0.130019435314839	0.516841217017289	0	0.103681456905782	0.320677369490786	0	-0.00918682518796364	-0.0198820400266053	-0.0211288762899637	0.00496912718893738	1.41366776873182	0.297437358435983	-0.00145892094178316	E	E	E	104.052965492009	104.053196426581	1.18438743146323	1.2026433504533	50	50	0	158.779881396344	-60.6341756812603	0	0.00630575496035256	0.0587614526377329	0.501641205627419
