variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M720T360_2	M719.991T360_2	719.991017155105	719.987933091632	719.993355786667	360.174422074674	359.20230236454	360.904364527745	20	8	12	0			82													
M720T48	M720.246T48	720.246035447521	720.241866325296	720.2475514561	48.3554936755997	47.594334580882	48.7851152808375	46	28	18	0	[1893][M+1]+		4													
M721T394_1	M721.1714T394_1	721.171365216162	721.168080913157	721.174442177017	393.737991404468	390.252457134299	396.832447482961	43	31	12	0		[M+H+CF3COOH]+ 586.185	74													
M721T100	M721.1813T100	721.181280804688	721.177417742609	721.182841328737	99.5278589078682	98.7813843400624	100.18271342939	56	41	15	0	[1894][M]+	[2M+Na]+ 349.095	48													
M721T301	M721.2116T301	721.211578994404	721.208311655218	721.213559804087	301.367753561327	300.48127982963	301.729979901849	53	33	17	3	[1895][M]+	[2M+Na]+ 349.111	8													
M721T394_2	M721.2708T394_2	721.270808225345	721.266059202979	721.272873675877	393.77094665146	392.645173703231	394.809345011638	55	37	18	0	[1896][M]2+		74													
M721T241	M721.3253T241	721.325335106516	721.320803304375	721.326555690336	240.600954803157	239.238055209262	241.883803031197	39	27	12	0		[M+H-COCH2]+ 762.344	71													
M721T394_3	M721.3705T394_3	721.370545394725	721.366499522776	721.372862106153	393.767146397946	392.947439979793	394.428139628549	57	38	19	0	[1897][M]2+		74													
M721T348_1	M721.4542T348_1	721.454154645702	721.450049490787	721.456934328659	348.468981186948	347.474872848811	349.845124137355	39	24	15	0		[M+H]+ 720.452	60													
M721T394_4	M721.4714T394_4	721.471417415413	721.46804704641	721.474477160948	393.752728189201	392.979451847491	394.623488448089	56	38	18	0		[M+2Na-H]+ 676.515 [M+K]+ 682.509 [M+Na]+ 698.478	74													
M721T348_2	M721.4996T348_2	721.499590383653	721.496289054105	721.501905988722	348.40672076868	347.31450764529	349.359733164358	35	19	16	0		[M+H-CH2]+ 734.499	60													
M722T774	M721.5105T774	721.510525246139	721.50735271979	721.512680876091	774.288190395149	754.984704599735	775.4162978193	66	41	21	3	[1898][M]+		817													
M722T348_1	M721.5446T348_1	721.544644868759	721.540723401263	721.547434328579	348.169507249328	346.790465690928	349.459740087479	38	27	11	0		[M+H]+ 720.534	60													
M722T394_1	M721.5715T394_1	721.571500038499	721.567938028863	721.576119292195	393.804347107097	393.002406348459	406.086493461869	62	40	19	0		[M+2Na-H]+ 676.615 [M+Na]+ 698.577	74													
M722T1199	M721.5823T1199	721.582338928584	721.578349908004	721.584392800679	1198.67376350341	1187.97152898579	1200.23259509402	68	42	17	3	[1899][M]+		3308													
M722T348_2	M721.5908T348_2	721.590802316769	721.588286807939	721.595444223534	348.341008746583	347.352916142808	349.7694486242	34	23	11	0		[M+H]+ 720.585	60													
M722T348_3	M721.6363T348_3	721.636344638306	721.633605162592	721.639832773568	348.220752972564	346.793965618813	349.246885828888	35	27	8	0		[M+H-CH2]+ 734.636	60													
M722T394_2	M721.6716T394_2	721.671622841504	721.668706903362	721.676350329515	393.781754806743	392.295146570119	405.329859302217	50	35	15	0			74													
M722T348_4	M721.6819T348_4	721.681862099672	721.678644274056	721.687598993843	348.321398461313	346.297576256182	349.948839555371	33	22	11	0			60													
M722T348_5	M721.7269T348_5	721.726949942405	721.723759048233	721.730825654679	348.063815042888	347.209073079577	350.485958119634	26	14	12	0			60													
M722T394_3	M721.7722T394_3	721.772191104966	721.768996770854	721.777131480153	393.765221243552	393.002406348459	405.452496039255	40	28	12	0	[1896][M+1]2+		74													
M722T322	M721.8648T322	721.864754326542	721.861129587743	721.866941686048	322.08092360891	320.927830477554	323.433766475082	30	22	8	0			16													
M722T394_4	M721.8727T394_4	721.872691701736	721.868980311107	721.877812815122	393.869196145942	391.609856267007	405.329859302217	42	30	10	0	[1897][M+1]2+		74													
M722T99	M722.1847T99	722.18466346328	722.181127287361	722.186398885506	99.4032925710471	98.6307219556402	99.8203339444382	31	24	7	0	[1894][M+1]+		48													
M722T301	M722.215T301	722.215041073518	722.211241633242	722.216798161319	301.42179561745	301.225477508057	301.883723384253	14	2	9	3	[1895][M+1]+		8													
M723T774	M722.5146T774	722.514587209261	722.510734376348	722.516279026709	774.200247806362	773.317314814169	775.629932306874	63	39	21	3	[1898][M+1]+		834													
M723T1199	M722.5853T1199	722.585335286658	722.581572824507	722.58751160379	1198.68197964223	1185.12909023731	1200.13564035492	42	29	11	2	[1899][M+1]+		3306													
M723T886	M723.148T886	723.147955103629	723.144279712791	723.149971319057	885.711441158303	884.468184769543	886.425978883925	62	38	21	3	[1900][M]+		2637													
