variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval
M132.1025T75_19	c18hyper	M132.1025T75_19	132.10245955461	75.0085340052622	[83][M]+	[M+Na+HCOOH]+ 63.1124	1														-0.470519281586693	0.00042180509790181	1	-0.0100897283378494	0.847213990172477	0	-0.0273790404704325	0.00107979511584713	0.0259834317800329	0.0221638428209702	1.86461630881806	1.35577294682589	0.000860492006720074	E	E	E	-0.242355512868105	0.148615682720314	0	-0.0831683400199061	0.689630032075127	0	-0.0159611719138758	-0.0284299215947356	0.0338273766128366	0.0282136044603115	2.33512952412404	1.70217038347684	0.00142795989272539	E	E	E	132.101751653079	132.103142972592	71.3566334630653	75.4760453453922	66	42	21	3	0.000127242374012908	0.112151192048309	0.603341376528974	0.995276482444929	1.83719881200479e-11
M269.0892T73	c18hyper	M269.0892T73	269.089166744514	72.5370823001532	[469][M]+	[3M+H]+ 89.3664	1	C10H12N4O5	268.0808	Inosine	Nucleotide metabolism	Purine metabolism	Inosine and Xanthine	54_Inosine_M+H_Mono_269.088_70.33_TRUE	InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1	UGQMRVRMYYASKQ-KQYNXXCUSA-N	CID6021	CHEBI:17596	HMDB00195	C00294	0.537540732450804	0.000308451073635868	1	-0.292269994620362	0.1249832016075	0	0.0137161174381629	-0.0131398294386725	-0.025673344236814	0.0131427988248122	1.84236388676919	0.803951338050301	-0.000820277775727004	E	E	E	0.13770045304069	0.489938181463048	0	-0.461150433334588	0.00487416883757285	1	-0.0165976991136419	-0.00474689961124771	-0.0149895055873189	0.0268028064088084	1.03473696614381	1.61705475552815	-0.000505227571786319	E	E	E	269.087770260954	269.090119213266	72.1769079839964	72.9555732567064	63	42	21	0	3.67676798856412e-06	0.0799045272279597	0.338647031191218	0.990286221942418	6.70111915496871e-10
M294.1557T74	c18hyper	M294.1557T74	294.155670255645	73.7225459544086	[576][M]+	[3M+H]+ 97.7132 [M+H-C6H10O5]+ 455.2	1														-0.151977174563907	0.502672166331808	0	0.281424431138998	0.299273089434645	0	-0.011393536158656	0.0123477964702706	0.0057028196498698	0.0202618805246387	0.409244268248151	1.23942899654263	0.00022412608621411	E	E	E	-0.304152655868705	0.255973065496742	0	0.175540313899411	0.501289174400777	0	-0.00523146826526794	-0.0150980228116648	0.0232494906691001	0.00916298538587139	1.60493001581625	0.552817076953138	0.00103099547995961	E	E	E	294.154048404518	294.156710228426	73.1561323651176	74.2824400567829	63	42	21	0	1.20039596238216e-07	0.108510443472401	0.412384422391382	0.981546275933905	1.63405353701278e-08
M400.1842T73	c18hyper	M400.1842T73	400.184185767981	73.2789100426383	[999][M]+		1														0.0671745420504557	0.767034187668305	0	-0.224476960764523	0.306462797302241	0	-0.00761019974727553	-0.0151466992808409	-0.00504784890429736	0.0291618355485397	0.362242427062123	1.78384353452859	-0.000127473706348143	E	E	E	-0.0363061810584568	0.946753772296799	0	-0.403535981775612	0.0364521709048614	1	-0.0230449940537207	-0.0128500432938584	-0.000653295227691277	0.0353553868438376	0.04509746622126	2.13304515793452	0.000131584409610941	E	E	E	400.181963443368	400.18559063809	72.7970970112972	73.8089527978672	62	42	20	0	1.76718082721026e-07	0.137778069835691	0.649828274468453	0.995498717640115	1.44434489956187e-11
M276.1451T74	c18hyper	M276.1451T74	276.145065594194	73.7737491288359	[494][M]+		1														0.00365513691956565	0.905632049601463	0	0.329325726998366	0.19448526400667	0	-0.00574486597653064	0.0224259049049329	-0.000663751152181255	0.0191580356970188	0.0476319384533731	1.17190627645887	-5.20670013830479e-06	E	E	E	-0.0355765918306119	0.891212994800909	0	0.074324360600972	0.764893121943986	0	0.0126697038766325	-0.0142633395228569	0.00451889112988714	-0.00514737662275219	0.311942490086489	0.310549190982494	0.000171279244497464	E	E	E	276.143637949652	276.146003936646	73.2914473329859	74.1963849001923	63	42	21	0	2.14388933302932e-07	0.120736649639978	0.464637562322438	0.994987423494313	2.47129130785793e-11
M380.1134T75	c18hyper	M380.1134T75	380.113353067169	74.6204476180151		[3M+2Na-H]+ 111.716	1														1.98417172916814	0.00099369467559852	1	-1.31891256792624	0.0771470677346978	0	0.0182013280159705	-0.0106535087767119	-0.0228782388087428	-0.00462125093559417	1.64178225420546	0.282684146859428	-0.000704959168961941	E	E	E	0.809886839483895	0.161243778507469	0	-0.336519887850653	0.548127180436539	0	0.0022100778408804	-0.000175519407138829	-0.0261667913936724	0.00778225776135336	1.80631350264898	0.469515644362026	-0.00116878033360164	E	E	E	380.111184219898	380.115003750413	63.4317875663207	76.4985985266662	96	42	21	0	5.25116535297388e-07	0.179310707629037	0.137316985988047	0.916089849788075	2.84182863179136e-05
M222.08T77	c18hyper	M222.08T77	222.079969324303	76.5112818736575	[299][M]+		1														0.297601471828759	0.465303848903965	0	-0.255668200329797	0.703545545979519	0	-0.000190790873871387	-0.000337371255989173	-0.00704236804626191	0.0151966067829877	0.505372593694493	0.929583760647861	-0.000222469700870656	E	E	E	0.629685392024093	0.264489425051374	0	0.0026040420235347	0.977394826010519	0	0.00962549210726417	0.0116081892382474	-0.0200029542429821	-0.0116480412979649	1.38081913821141	0.702744342744362	-0.00102392944011573	E	E	E	222.078787412737	222.082560822089	66.9870522500863	77.2315255909531	65	42	21	2	0.000752846471030651	0.182393349428199	0.350111178823434	0.989571956731424	9.54336618520529e-10
M739.1854T76	c18hyper	M739.1854T76	739.185399983064	75.8720012293543	[1911][M]+		1														0.556310743349727	0.0198248124464612	1	-0.00725085622426036	0.946809740430229	0	0.00914418138948341	-0.00801269329897273	-0.0197012905573582	0.0139024500971809	1.41379891574764	0.850419572481418	-0.00058666954836322	E	E	E	0.0786875649707497	0.847928169923126	0	-0.0963940161901746	0.813258493308823	0	-0.00951278132814907	0.0158249622965676	-0.0117510807260959	0.00142432507230331	0.811186036030318	0.0859317340302516	-0.000220531082094213	E	E	E	739.18128971437	739.187540496547	75.3381625780769	76.8669722352094	61	42	19	0	1.37187649551406e-06	0.0970019680161173	0.33807513752627	0.943267583440381	4.20623302146335e-06
M310.1771T78	c18hyper	M310.1771T78	310.177096046705	77.8589922544704		[3M+2Na-H]+ 88.3973	1														-0.744394559021966	0.00548996583783736	1	-0.245662369413342	0.444527518626878	0	-0.02287786261158	-0.0199986103075503	0.0191353713763648	0.0219408212427142	1.37318756989901	1.34213060940272	0.000640980119999461	E	E	E	-0.201521205830293	0.706680187026089	0	-0.381302001295886	0.411999722758789	0	-0.0293991781081311	0.00531835265307451	0.00431615388644583	0.0269643081067368	0.29794738404508	1.62679840269247	0.000417544118744097	E	E	E	310.175380807328	310.178248022566	77.154722248127	78.5008827339589	63	42	21	0	1.45344771730577e-06	0.119316384968925	0.246595902919022	0.985042984003347	5.74934219870872e-09
M562.2378T73	c18hyper	M562.2378T73	562.237751448732	72.7384851223507	[1581][M]+		1														-0.365437071949941	0.03145881221268	1	0.0402105002462214	0.967096026897703	0	-0.0222047557080829	0.00843826039166046	0.0166181143045445	0.0274448018094504	1.19254481919005	1.67881175321484	0.000578145355282405	E	E	E	-0.299814745626833	0.234795269629735	0	-0.172095775856111	0.525701646311185	0	-0.0121618947729748	-0.023981000401765	0.0247220654230197	0.0227754762848074	1.70658297057279	1.3740797017309	0.00112561710198398	E	E	E	562.234906844531	562.239814175507	71.6840651531543	73.5129557763739	63	42	21	0	2.00951165668657e-06	0.143067423715154	0.589450704326249	0.994929082955437	2.61823781394805e-11
M87.0445T76	c18hyper	M87.0445T76	87.0444839532335	76.4279667090323			1														0.154761376435786	0.592012585665635	0	-0.0873169361265909	0.88151836975416	0	0.00859475100559934	-0.0060101236481299	-0.00702733510880831	-0.0109034341023147	0.504293803926353	0.666968318753402	-0.00017042068894848	E	E	E	-0.0388209556528025	0.925449052411767	0	0.211445673386415	0.608957807572509	0	-0.00763991197288716	-0.0109326155626302	0.00346610472254474	0.0167756087670515	0.239267844029283	1.01209841685554	9.62616933854063e-05	E	E	E	87.0440740559826	87.0447979726891	67.7564165955767	77.6554853552689	66	42	21	0	0.0300568610443644	0.0983247656624616	0.297344874596973	0.952262344472484	1.80170962202368e-06
M263.197T76	c18hyper	M263.197T76	263.1969911611	75.5218730716728			1														-0.964182946247927	0.000166629111359396	1	0.0433860662345467	0.95823314760383	0	-0.0250566982089742	0.000808122596940801	0.024506720081083	0.0185277405778661	1.75864490594123	1.13335082026085	0.000834141492944657	E	E	E	-0.294600320994711	0.349354821768781	0	0.114316294455968	0.719407579832059	0	-0.0104832883385754	-0.0229897894796027	0.0246368313389473	0.0221429312513631	1.70069919695189	1.33591728176578	0.000903474179492191	E	E	E	263.195683551123	263.198132552953	74.9906198965551	76.1397734946536	63	42	21	0	2.85755609092228e-06	0.191594147688389	0.501811382928346	0.983270001568268	1.00364876628147e-08
