variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M266T387	M266.0774T387	266.077364672641	266.076991624476	266.07835986607	387.258387729268	383.281125275067	391.276883322201	63	42	21	0	[322][M+1]-		16													
M266T288	M266.0782T288	266.078237006501	266.077725753721	266.079007709369	288.399364838974	285.376590876284	290.794518936476	32	16	16	0			9													
M266T500	M266.0885T500	266.088493311399	266.088078619171	266.089402711208	499.729322958982	498.914003226046	500.75862682347	63	42	21	0			25													
M266T173	M266.0899T173	266.089900054785	266.089598618412	266.090852112582	172.573107807179	169.980264757329	174.717123785768	63	42	21	0		[M-H+CF3COOH]- 133.098	17													
M266T298	M266.1251T298	266.125126868807	266.12473558066	266.125927161314	297.706434585703	294.196407042207	301.008490034594	63	42	21	0			9													
M266T1208	M266.1517T1208	266.151655111396	266.15125843821	266.15249115854	1208.12717260865	1206.45728650333	1209.03098609179	66	42	21	3	[323][M+1]-		38													
M266T76	M266.1513T76	266.151308179083	266.150816339813	266.152419000353	76.1377717807711	74.6267674574088	77.6396973172519	63	39	21	3	[324][M+1]-		3													
M267T349	M266.7408T349	266.740829888504	266.740528386864	266.741632513353	348.866669569152	345.962665066444	351.68844763355	10	1	6	3			755													
M267T590_1	M266.787T590_1	266.787012878057	266.786654832836	266.787983923813	589.979602830475	588.598000067866	593.961301324455	60	41	19	0			34													
M267T1012	M266.914T1012	266.914047254573	266.913676529017	266.914994739142	1012.48862790546	998.778242667286	1019.92977675861	63	42	21	0		[M-H]- 267.919	30													
M267T1217	M266.9141T1217	266.914138451235	266.913724520086	266.914958008126	1216.67011714279	1208.55870399151	1226.72910962607	64	40	21	3			38													
M267T882	M266.914T882	266.914001406791	266.913713077151	266.915022753511	881.733492401269	849.018793206668	892.438290026892	51	32	15	1			1608													
M267T18	M266.9141T18	266.914066643625	266.913712557477	266.914860327915	17.8369304570754	5.69832178116481	29.5501206087649	10	2	4	3			1630													
M267T1000	M266.9295T1000	266.929485610199	266.929024493249	266.930473384202	1000.00888342916	997.124062625805	1001.82175928372	63	42	21	0			30													
M267T543	M266.9679T543	266.967934470414	266.967488828374	266.968895597597	543.412589992621	541.737639370378	545.273328531799	32	12	20	0			966													
M267T553	M267.0361T553	267.036064088088	267.035680358702	267.037061878226	553.044890820372	551.45897405744	555.373224480102	62	41	21	0		[2M-H]- 134.024	4													
M267T590_2	M267.039T590_2	267.038974475293	267.03855900613	267.039928994568	589.680175341147	588.754467038149	593.224259174979	63	42	21	0	[325][M]2-	[M-2H]2- 536.092	34													
M267T525	M267.0622T525	267.06222477421	267.062111680412	267.063177394253	524.952270405627	524.162364178128	526.400319522296	6	0	3	3	[326][M]-		825													
M267T497	M267.0725T497	267.072488227184	267.072081340922	267.073487976501	497.449976806786	496.055734880813	498.908100850645	63	42	21	0			25													
M267T304	M267.0739T304	267.073887168371	267.073593049198	267.074849747994	304.019761676998	301.148366346585	307.443298790223	63	42	21	0	[327][M]-	[M-H]- 268.081	9													
M267T500	M267.0917T500	267.091744416711	267.091366617465	267.092825937582	499.646381688922	497.941534836396	500.710439247873	63	42	21	0		[M-H]- 268.1	25													
M267T408	M267.1089T408	267.108898691093	267.108480093885	267.109704558443	408.227938282839	407.002575451502	411.744058841533	62	41	21	0	[328][M]-	[M-H-CH2]- 282.134	8													
M267T443	M267.12T443	267.120046244014	267.119754535922	267.121045012811	443.469833165409	441.870320034461	444.685824903307	63	42	21	0	[329][M]-		5													
M267T1208	M267.1444T1208	267.144358455952	267.143964938392	267.145191521918	1207.77025814087	1206.45728650333	1208.92722894961	66	42	21	3	[323][M+2]-		38													
M267T76	M267.1447T76	267.144672490435	267.144214221653	267.145860543721	75.7041132037739	72.703775516444	77.6396973172519	25	8	14	3	[324][M+2]-		344													
M267T173	M267.1466T173	267.146634154042	267.146309102802	267.147636144877	172.898584011636	168.880104843519	176.482192029654	60	39	21	0		[M-H]- 268.148	17													
M267T145	M267.1467T145	267.146732556311	267.146385601268	267.147679134053	144.72392416681	140.663105443136	150.51930374764	26	11	15	0			23													
M267T90	M267.1608T90	267.160796276566	267.160037828738	267.161860834599	90.0071382738612	82.2495637551191	92.2726965986795	61	37	21	3			7													
M267T1207	M267.2333T1207	267.233349757497	267.232929518778	267.234173554079	1207.43362575848	1205.75801455675	1208.72324336729	65	41	21	3		[M-H]- 268.241 [M-H-C2H4]- 296.269	38													
M267T78	M267.2332T78	267.23324172434	267.232902983555	267.234214637373	78.413498179871	77.5838504940297	79.3677124819675	63	42	21	0	[330][M]-	[M-H]- 268.241	3													
M267T590_3	M267.2898T590_3	267.289834550749	267.289434443987	267.290887322644	589.708256628922	588.754467038149	594.549336256275	62	41	21	0		[M-2H]2- 536.594	34													
M268T590	M267.5399T590	267.539861061822	267.53725244663	267.541650638222	590.15858196322	588.437775545344	595.117223012687	50	33	17	0	[325][M+1]2-		34													
M268T221	M267.9095T221	267.909450206409	267.909435692939	267.909885937709	221.368956382533	218.304408304739	223.215136382153	3	0	0	3			599													
