variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	QC	Blanc	Bio	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M193T495	M193.0356T495	193.035588720541	193.034929534442	193.035915327588	494.791726052278	491.724552795303	498.501999903285	60	22	2	36			3													
M193T162	M193.051T162	193.051003218836	193.050702464729	193.051385220283	162.230140713691	160.230613525656	164.811700646622	63	22	0	41		[M-H-COCH2]- 236.079	46													
M193T102	M193.0702T102	193.07021704479	193.069959381627	193.070586822075	101.959792473521	99.5900275939936	103.974783157805	65	24	0	41	[186][M+1]-		5													
M193T128	M193.0702T128	193.070238754761	193.06990798556	193.070575062287	128.136142574642	126.791446748311	129.476520983308	63	24	0	39	[187][M+1]-		35													
M193T257	M193.0718T257	193.071780068409	193.071455418339	193.072185341537	257.270003998787	237.041711244579	263.671511584483	72	24	0	42		[M-H]- 194.078	1													
M193T445	M193.072T445	193.072037295978	193.07153040162	193.072413884003	444.598852193155	438.579448371207	453.018356169914	35	19	2	14			173													
M194T79	M193.5944T79	193.594407674591	193.593296517042	193.595070709595	78.5560445612743	77.6127752676896	85.9662893053569	67	24	1	42			2													
M194T993	M193.5944T993	193.59442341624	193.593270081894	193.595062612026	993.294380752168	985.859672023207	1001.79304136137	72	24	0	42			13													
M194T251	M193.5942T251	193.594222302825	193.593002673446	193.595026240627	250.917330995195	241.712892766732	262.98236336955	79	24	0	42		[3M+Cl]- 52.8823	1													
M194T474	M193.5944T474	193.594366523864	193.593292661401	193.595045010553	473.959971563429	461.360058946095	481.350552454528	56	19	0	35			3													
M194T377	M193.9825T377	193.982473594031	193.982240677443	193.982914679439	377.025188772737	376.275222552556	378.948024312495	58	16	0	42		[M-H-C6H10O5]- 357.043	32													
M194T434	M193.9793T434	193.979302463833	193.979009020075	193.979728485904	433.896002271969	423.75715237577	436.804350055431	60	18	0	42			47													
M194T523	M194.0132T523	194.013172663629	194.012866689168	194.013589815921	522.950897171218	521.614935930757	524.604094081709	65	24	0	41		[3M-H+Cl]2- 118.022	16													
