sampleMetadata	gene	mouse_nb	sex	initial_name	class	InjOrder	SourisGenre	Genre	Type	BW	injectionOrder	sampleType	batch	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval
L824m	LAT	824	M	Ec57699P_824M_L_Hi_GC2_01_16923	Sample	16917	518F	F	M	Lo	15	sample	pos	33.6866694294387	-32.3836195443656	0.339990898411434	1	0.00335398738449033
L825m	LAT	825	M	Ec57707P_825M_L_Hi_GD2_01_16932	Sample	16916	848M	M	L	Hi	14	sample	pos	-49.7703590289968	-11.0989690735624	0.371395776997075	1	0.236664436121395
L826m	LAT	826	M	Ec57720P_826M_L_Hi_GE7_01_16948	Sample	16915	633F	F	C	Lo	13	sample	pos	40.5334343681694	7.2670451247218	0.525527005304758	1	0.208450924005064
L827m	LAT	827	M	Ec57689P_827M_L_Lo_GA8_01_16911	Sample	16914	819F	F	L	Lo	12	sample	pos	15.5187851368738	44.9256470735351	0.258238766912396	1	0.57311364184622
L836f	LAT	836	F	Ec57709P_836F_L_Hi_GD4_01_16935	Sample	16913	631M	M	C	Hi	11	sample	pos	-31.5383745190403	-15.8556492417065	0.588351097468141	1	0.763428377603696
L841f	LAT	841	F	Ec57722P_841F_L_Lo_BA1_01_16950	Sample	16911	827M	M	L	Lo	9	sample	pos	-33.4808509517727	4.91402136807019	0.648375659274301	1	0.181927606456084
L848m	LAT	848	M	Ec57693P_848M_L_Hi_GB4_01_16916	Sample	16910	531F	F	M	Lo	8	sample	pos	40.5600364177016	24.5005401143246	0.373226354321753	1	0.166557898972868
L849m	LAT	849	M	Ec57695P_849M_L_Hi_GB6_01_16918	Sample	16909	854F	F	L	Lo	7	sample	pos	39.3308550286458	-1.50414917546926	0.561951372218904	1	0.277242263978483
L854f	LAT	854	F	Ec57687P_854F_L_Lo_GA6_01_16909	Sample	16908	513M	M	M	Hi	6	sample	pos	-53.5549907912889	14.7009984561785	0.304724867381536	1	0.0769371775717831
L859m	LAT	859	M	Ec57715P_859M_L_Hi_GE2_01_16942	Sample	16907	628M	M	C	Hi	5	sample	pos	-45.1119550252295	-29.5283395670023	0.274558035851167	1	0.624825439623174
L862f	LAT	862	F	Ec57716P_862F_L_Lo_GE3_01_16943	Sample	16906	617F	F	C	Lo	4	sample	pos	46.5181245922523	1.36023748826146	0.448611340336734	1	0.279384456891275
