variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M222T163_6	M221.5731T163_6	221.573143675152	221.568965112768	221.578412900463	162.852382449841	159.42721915422	164.870832080414	36	24	11	1		[M+Na+NH3]+ 181.565	12													
M222T163_7	M221.5876T163_7	221.587638362915	221.583813708936	221.593417470056	162.729670628546	159.42721915422	164.870832080414	41	25	15	1		[M+Na+NH3]+ 181.565	12													
M222T163_8	M221.5985T163_8	221.598544612736	221.594275873477	221.602520369671	162.833869491456	159.761998096248	164.102820256647	35	26	9	0			12													
M222T677_1	M221.6086T677_1	221.60856214444	221.607974557635	221.609218388417	677.421668240472	675.473634906182	678.378560984807	34	23	11	0	[321][M+1]2+		72													
M222T163_9	M221.6079T163_9	221.607929876182	221.603746191925	221.613525759496	162.883540128342	159.179635535362	164.870832080414	32	20	11	1			12													
M222T163_10	M221.6185T163_10	221.618495568487	221.613998671528	221.623206594684	162.583079585721	158.939617844183	164.102820256647	40	24	15	1			12													
M222T163_11	M221.628T163_11	221.628002129174	221.62409935728	221.633731111809	162.811996868933	160.045919495962	164.61134473799	31	23	8	0		[M+Na]+ 198.645	12													
M222T163_12	M221.6382T163_12	221.638177059306	221.6343603874	221.643400332914	162.685995237515	159.42721915422	165.368864596824	36	22	13	1		[M+Na]+ 198.645	12													
M222T163_13	M221.6534T163_13	221.65338659174	221.648927094968	221.658665989339	162.917995818051	159.790605165088	164.870832080414	42	29	13	0			12													
M222T163_14	M221.6685T163_14	221.668485845325	221.663942809351	221.673208030784	162.833869491456	159.761998096248	164.197425162202	37	29	8	0			12													
M222T163_15	M221.6825T163_15	221.682465610756	221.678750289484	221.688212168177	162.783791502906	159.179635535362	164.61134473799	33	19	13	1		[M+H+NH3]+ 203.651	12													
M222T163_16	M221.6936T163_16	221.693639658044	221.689192069886	221.698610360733	162.821280749915	159.915813043987	164.870832080414	41	30	10	1		[M+H+NH3]+ 203.651	12													
M222T163_17	M221.709T163_17	221.709026157412	221.70419253529	221.713452929542	163.002122144645	159.761998096248	164.870832080414	33	26	7	0			12													
M222T163_18	M221.7252T163_18	221.725237848391	221.719135569996	221.72867254615	162.870895408227	159.761998096248	164.197425162202	35	22	12	1		[M+H-CH2]+ 234.739	12													
M222T163_19	M221.7348T163_19	221.734755524447	221.729161960334	221.73869617089	162.909011010078	160.5803697139	164.102820256647	35	27	7	1		[M+H-CH2]+ 234.739	12													
M222T163_20	M221.7493T163_20	221.749314796638	221.744361461408	221.753688787087	162.833869491456	160.045919495962	164.870832080414	39	27	11	1			12													
M222T163_21	M221.7683T163_21	221.768316583148	221.764197941759	221.773671511417	162.851465678447	159.42721915422	165.368864596824	35	24	10	1			12													
M222T163_22	M221.7835T163_22	221.78345718509	221.778937303791	221.788242479516	162.799551059338	159.761998096248	164.870832080414	34	26	7	1		[M+H]+ 220.781	12													
M222T163_23	M221.7938T163_23	221.793785819462	221.788926165671	221.79813306024	162.902053086728	160.254863707863	164.61134473799	34	22	12	0		[M+H]+ 220.781	12													
M222T163_24	M221.8077T163_24	221.807651659537	221.803890146537	221.813705378048	162.765066047616	159.179635535362	164.870832080414	36	24	12	0			12													
M222T163_25	M221.8172T163_25	221.817206442501	221.81405767529	221.822571694376	162.774882642813	159.98383405126	164.198509950953	28	15	12	1			12													
M222T163_26	M221.829T163_26	221.829047142338	221.823837714206	221.833715928722	162.816578282136	159.42721915422	164.61134473799	38	31	7	0		[M+K]+ 182.871	12													
M222T163_27	M221.8387T163_27	221.83867437797	221.833822269474	221.843177273796	162.630294740261	159.501581061016	164.870832080414	30	18	12	0		[M+K]+ 182.871	12													
M222T163_28	M221.8482T163_28	221.848173035443	221.843910135036	221.853328537008	162.794541673648	160.120932536515	165.449220466624	36	27	8	1			12													
M222T163_29	M221.8598T163_29	221.859848159004	221.854767006608	221.863501436214	162.785508903612	159.308657446404	164.870832080414	36	22	13	1		[M+K]+ 182.905	12													
M222T163_30	M221.8738T163_30	221.873791487928	221.868850496438	221.877901447444	162.673336906949	160.120932536515	164.61134473799	34	22	11	1		[M+K]+ 182.905	12													
M222T163_31	M221.885T163_31	221.885006939298	221.879034107294	221.888709671343	162.851465678447	159.179635535362	164.870832080414	37	24	13	0			12													
M222T163_32	M221.904T163_32	221.903959116646	221.899242870761	221.908684311874	162.766888190051	159.017250438999	165.368864596824	34	26	8	0			12													
M222T163_33	M221.9139T163_33	221.913921194059	221.908876454396	221.918576497797	162.747130592635	159.42721915422	164.61134473799	39	21	17	1			12													
